VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,2016-01-01 00:26:06,2016-01-01 00:38:49,N,1,-73.938980102539062,40.805255889892578,-73.956474304199219,40.767951965332031,1,3.09,12,0.5,0.5,3,0,,0.3,16.3,1,1
2,2016-01-01 00:22:13,2016-01-01 00:39:58,N,1,-73.962966918945313,40.804119110107422,-73.925003051757813,40.826053619384766,1,3.32,14.5,0.5,0.5,3.16,0,,0.3,18.96,1,1
2,2016-01-01 00:24:17,2016-01-01 00:39:09,N,1,-73.953048706054688,40.655841827392578,-73.964210510253906,40.706138610839844,1,3.78,14.5,0.5,0.5,0,0,,0.3,15.8,2,1
2,2016-01-01 00:34:53,2016-01-01 00:39:45,N,1,-73.95166015625,40.71380615234375,-73.941520690917969,40.713687896728516,1,.58,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2016-01-01 00:27:55,2016-01-01 00:40:03,N,1,-73.925376892089844,40.762107849121094,-73.951995849609375,40.773113250732422,1,3.57,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2016-01-01 00:17:34,2016-01-01 00:40:12,N,1,-73.945259094238281,40.807956695556641,-73.946624755859375,40.715042114257813,2,9.97,30.5,0.5,0.5,7.47,5.54,,0.3,44.81,1,1
2,2016-01-01 00:27:59,2016-01-01 00:39:48,N,1,-73.987663269042969,40.69036865234375,-73.965400695800781,40.676979064941406,1,1.78,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,2016-01-01 00:27:21,2016-01-01 00:38:44,N,1,-73.923553466796875,40.687168121337891,-73.933021545410156,40.672500610351562,1,1.66,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,2016-01-01 00:31:12,2016-01-01 00:39:36,N,1,-73.869796752929688,40.749164581298828,-73.882400512695312,40.755821228027344,1,1.35,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-01-01 00:31:42,2016-01-01 00:39:58,N,1,-73.891548156738281,40.746631622314453,-73.882530212402344,40.731773376464844,1,1.56,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2016-01-01 00:28:06,2016-01-01 00:39:17,N,1,-73.954498291015625,40.805641174316406,-73.937934875488281,40.796161651611328,1,1.64,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
2,2016-01-01 00:31:08,2016-01-01 00:39:50,N,1,-73.953811645507813,40.81683349609375,-73.952301025390625,40.803318023681641,1,1.25,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2016-01-01 00:14:07,2016-01-01 00:38:56,N,1,-73.957649230957031,40.729763031005859,-73.909233093261719,40.685775756835938,5,4.54,18.5,0.5,0.5,3.96,0,,0.3,23.76,1,1
