VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-10-01 00:00:09,2015-10-01 00:18:53,2,3.98,-74.005508422851563,40.727291107177734,1,N,-73.94317626953125,40.706890106201172,1,16,0.5,0.5,3.46,0,0.3,20.76
1,2015-10-01 00:00:10,2015-10-01 00:14:05,1,2.00,-74.008514404296875,40.745952606201172,1,N,-74.007377624511719,40.719703674316406,2,11,0.5,0.5,0,0,0.3,12.3
1,2015-10-01 00:00:10,2015-10-01 00:11:40,2,2.60,-73.982826232910156,40.772010803222656,1,N,-73.954559326171875,40.786651611328125,1,11,0.5,0.5,2.46,0,0.3,14.76
2,2015-10-01 00:00:10,2015-10-01 00:15:32,2,4.14,-73.976768493652344,40.739498138427734,1,N,-73.983810424804688,40.782142639160156,1,15,0.5,0.5,4.08,0,0.3,20.38
2,2015-10-01 00:00:10,2015-10-01 00:05:26,1,1.01,-73.991844177246094,40.738601684570313,1,N,-74.001991271972656,40.728252410888672,1,6,0.5,0.5,1.46,0,0.3,8.76
1,2015-10-01 00:00:11,2015-10-01 00:27:45,1,15.70,-74.005035400390625,40.740764617919922,1,N,-73.871025085449219,40.835727691650391,2,44,0.5,0.5,0,0,0.3,45.3
1,2015-10-01 00:00:11,2015-10-01 00:09:50,1,2.10,-73.986976623535156,40.729244232177734,1,N,-73.972145080566406,40.750885009765625,1,9,0.5,0.5,2.55,0,0.3,12.85
1,2015-10-01 00:00:11,2015-10-01 00:07:18,1,1.00,-73.990180969238281,40.732051849365234,1,N,-74.005821228027344,40.740177154541016,1,6.5,0.5,0.5,1,0,0.3,8.8
1,2015-10-01 00:00:11,2015-10-01 00:10:16,1,1.70,-73.993789672851562,40.751277923583984,1,N,-74.008346557617188,40.735706329345703,1,9,0.5,0.5,0.51,0,0.3,10.81
1,2015-10-01 00:00:11,2015-10-01 00:07:55,1,2.50,-73.971977233886719,40.782245635986328,1,N,-73.9986572265625,40.761028289794922,1,9,0.5,0.5,1,0,0.3,11.3
